Header,GPSWeek,GPSTime,Heading,Pitch,Roll,gyrox,gyroy,gyroz,accx,accy,accz,Lattitude,Longitude,Altitude,Ve,Vn,Vu,V,NSV1,NSV2,Status,Age,Warming*Cs,
$GPCHC,2125,120114,184.51,-0.68,9.61,1.66,-15.38,-1.84,-0.1467,-0.0104,0.866,32.02879095,118.8562304,27.26,0.071,0.91,0.028,0.912,26,22,41,1,2*40,
$GPCHC,2125,120114.4,184.61,-2.74,6.7,3.74,-7.57,-0.23,-0.1462,-0.0599,1.2439,32.02879416,118.8562308,27.25,0.053,0.888,-0.104,0.889,26,22,41,1,2*55,
$GPCHC,2125,120114.8,184.81,-2.76,6.68,-1,-2.18,2.05,-0.1473,-0.0611,1.2569,32.02879733,118.8562312,27.23,0.056,0.88,-0.09,0.882,25,22,41,1,2*52,
$GPCHC,2125,120115,183.91,1.13,-1.09,3.42,35.52,5.44,0.0229,0.0238,1.2016,32.02879891,118.8562313,27.23,0.059,0.88,-0.031,0.882,25,21,41,1,2*6A,
$GPCHC,2125,120115.2,182.82,-3.07,-9.17,0.93,28.15,0.51,0.1463,-0.0492,0.9059,32.02880042,118.8562313,27.22,0.027,0.846,-0.005,0.846,25,22,41,1,2*6C,
$GPCHC,2125,120115.4,182.21,0.23,-9.19,-0.16,15.15,-1.85,0.1076,0.0026,0.6647,32.02880199,118.8562314,27.22,0.045,0.868,-0.043,0.87,25,23,41,1,2*6E,
$GPCHC,2125,120115.6,182.21,7.32,-18.66,3.21,15.69,-0.4,0.2305,0.0925,0.6826,32.02880362,118.8562315,27.21,0.045,0.92,-0.019,0.922,25,23,41,1,2*70,
$GPCHC,2125,120115.8,182.11,0.43,-1.97,3.57,17.91,-0.98,0.031,0.0068,0.901,32.02880523,118.8562316,27.21,0.029,0.895,-0.031,0.895,24,22,41,2,2*4D,
$GPCHC,2125,120116,182.23,5.21,1.9,0.1,24.45,-2.17,-0.0302,0.0829,0.9084,32.02880684,118.8562318,27.21,0.062,0.893,0.028,0.896,24,22,41,1,2*6A,
$GPCHC,2125,120116.2,182.27,-0.69,-11.83,10.31,9.39,-0.76,0.1445,-0.0085,0.6903,32.02880845,118.8562318,27.21,0.021,0.881,-0.009,0.881,24,22,41,1,2*72,
$GPCHC,2125,120116.6,182.32,-1.46,-1.67,4.38,13.15,0.57,0.024,-0.021,0.8242,32.02881162,118.8562321,27.2,0.075,0.871,-0.028,0.875,25,22,41,1,2*6C,
$GPCHC,2125,120116.8,182.08,-0.9,-6.75,-2.33,-11.54,4.89,0.1495,-0.02,1.2639,32.02881321,118.8562322,27.19,0.032,0.864,-0.023,0.865,25,22,41,2,2*6D,
